Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42820,23,Perinatal Health Worker Training Access Act of 2019,"Councilmembers R. White, Cheh, Bonds, Silverman, Allen, Gray, T. White, Evans, McDuffie, Grosso, Nadeau, Todd, and Chairman Mendelson",B23-0341,,,2019-06-18,2019-06-18,Committee on Health,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42820/B23-0341-Introduction.pdf
42819,23,Alleys for Affordable Housing Clarification Amendment Act of 2019,"Councilmembers Bonds, Silverman, and Grosso",B23-0340,,,2019-06-18,2019-06-18,Committee on Business and Economic Development and Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42819/B23-0340-Introduction.pdf
42818,23,Female Genital Mutilation Prohibition Act of 2019,"Councilmembers Cheh, Allen, Nadeau, Grosso, Bonds, Silverman, and Gray",B23-0339,,,2019-06-18,2019-06-19,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42818/B23-0339-Introduction.pdf
42817,23,Eviction Record Sealing Authority Amendment Act of 2019,"Councilmembers Cheh, Allen, Nadeau, Grosso, Bonds, Todd, and Silverman",B23-0338,,,2019-06-18,2019-06-18,Committee on Government Operations and Committee on Housing and Neighborhood Revitalization,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42817/B23-0338-Introduction.pdf
42816,23,Short-Term Rental Independent Analysis Emergency Act of 2019,Chairman Mendelson,B23-0337,,,2019-06-18,2019-06-19,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42816/B23-0337-Introduction.pdf
42815,23,Short-Term Rental Independent Analysis Emergency Declaration Resolution of 2019,Chairman Mendelson,PR23-0379,,R23-0137,2019-06-18,2019-06-19,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42815/PR23-0379-Introduction.pdf
42814,23,Medical Marijuana Program Patient Employment Protection Temporary Amendment Act of 2019,Councilmember Grosso,B23-0336,,,2019-06-18,2019-06-19,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42814/B23-0336-Introduction.pdf
42813,23,Medical Marijuana Program Patient Employment Protection Emergency Amendment Act of 2019,Councilmember Grosso,B23-0335,,,2019-06-18,2019-06-19,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42813/B23-0335-Introduction.pdf
42812,23,Medical Marijuana Program Patient Employment Protection Emergency Declaration Resolution of 2019,Councilmember Grosso,PR23-0378,,R23-0136,2019-06-18,2019-06-19,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42812/PR23-0378-Introduction.pdf
42811,23,Food Policy Council Beverley Wheeler Confirmation Resolution of 2019,Chairman Mendelson,PR23-0377,,,2019-06-14,2019-06-18,Committee on Transportation and the Environment,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/42811/PR23-0377-Introduction.pdf
