Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42992,23,D.C. Schools Shortchange At-Risk Students,Chairman Phil Mendelson,AU23-0012,,,2019-07-03,2019-07-03,,,,,New,Report,Auditor,http://lims.dccouncil.us/Download/42992/AU23-0012-Introduction.pdf
42991,23,Proposed contract with Deloitte Consulting LLP ,Chairman Mendelson,CA23-0241,,,2019-07-03,2019-07-03,Retained by the Council,,Approved,2019-07-15,New,Contract,Contract,http://lims.dccouncil.us/Download/42991/CA23-0241-Introduction.pdf
42990,23,Board of Directors of the Washington Metropolitan Area Transit Authority Principal Member Corbett Price Emergency Removal Resolution of 2019,Councilmember Silverman,PR23-0412,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Resolution,Emergency Approval Resolution,http://lims.dccouncil.us/Download/42990/PR23-0412-Introduction.pdf
42989,23,Board of Directors of the Washington Metropolitan Area Transit Authority Principal Member Corbett Price Removal Emergency Declaration Resolution of 2019,Councilmember Silverman,PR23-0411,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42989/PR23-0411-Introduction.pdf
42988,23,Some Progress Made But More Improvement Needed In Management of Personally Identifiable Information,Chairman Phil Mendelson,AU23-0011,,,2019-07-03,2019-07-03,,,,,New,Report,Auditor,http://lims.dccouncil.us/Download/42988/AU23-0011-Introduction.pdf
42987,23,District of Columbia Housing Finance Agency Randle Hill Apartments Mortgage Revenue Bonds Emergency Approval  Resolution of 2019,Councilmember Bonds,PR23-0410,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Resolution,Emergency Approval Resolution,http://lims.dccouncil.us/Download/42987/PR23-0410-Introduction.pdf
42986,23,District of Columbia Housing Finance Agency Randle Hill Apartments Mortgage Revenue Bonds Emergency Declaration Resolution of 2019,Councilmember Bonds,PR23-0409,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42986/PR23-0409-Introduction.pdf
42985,23,Local Rent Supplement Program Contract No. 2018-LRSP-02A Approval and Payment Authorization Emergency Act  of 2019,Councilmember Bonds,B23-0370,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42985/B23-0370-Introduction.pdf
42984,23,Local Rent Supplement Program Contract No. 2018-LRSP-02A Approval and Payment Authorization Emergency Declaration Resolution of 2019,Councilmember Bonds,PR23-0408,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42984/PR23-0408-Introduction.pdf
42983,23,Adelaide Alley Designation Temporary Act of 2019,Councilmember Allen,B23-0369,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42983/B23-0369-Introduction.pdf
42982,23,Adelaide Alley Designation Emergency Act of 2019,Councilmember Allen,B23-0368,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42982/B23-0368-Introduction.pdf
42981,23,Adelaide Alley Designation Emergency Declaration Resolution of 2019,Councilmember Allen,PR23-0407,,,2019-07-03,2019-07-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42981/PR23-0407-Introduction.pdf
42980,23,Fiscal Year 2020 Budget Support Congressional Review Emergency Act of 2019,Chairman Mendelson,B23-0367,,,2019-07-02,2019-07-03,Retained by the Council,,,,New,Bill,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/42980/B23-0367-Introduction.pdf
42979,23,Fiscal Year 2020 Budget Support Congressional Review Emergency Declaration Resolution of 2019,Chairman Mendelson,PR23-0406,,,2019-07-02,2019-07-03,Retained by the Council,,,,New,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/42979/PR23-0406-Introduction.pdf
42978,23,"Proposed FY 2019-2020 Annual Capital Transportation Plan for All Sources (Plan) between the Federal Highway Administration, the Government of the District of Columbia (District) and the now defunct District of Columbia Financial Responsibility and Management Assistance Authority",Chairman Mendelson,CA23-0240,,,2019-07-02,2019-07-03,Retained by the Council,,Approved,2019-07-13,New,Contract,Contract,http://lims.dccouncil.us/Download/42978/CA23-0240-Introduction.pdf
42977,23,Correspondence from the Mayor - Summary of Term and Conditions on the 7th and P - SSL 0191 0445 Disposition,Chairman Phil Mendelson,RC23-0085,,,2019-07-02,2019-07-03,,,,,New,Report,Other,http://lims.dccouncil.us/Download/42977/RC23-0085-Introduction.pdf
42976,23,Proposed contract with Brodart Co. ,Chairman Mendelson,CA23-0239,,,2019-07-01,2019-07-03,Retained by the Council,,Approved,2019-07-12,New,Contract,Contract,http://lims.dccouncil.us/Download/42976/CA23-0239-Introduction.pdf
42975,23,Proposed contract with Keystone Plus Construction Corporation ,Chairman Mendelson,CA23-0238,,,2019-06-28,2019-07-03,Retained by the Council,,Approved,2019-07-12,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42975/CA23-0238-Introduction.pdf
42974,23,Proposed contract with Turner Construction Company ,Chairman Mendelson,CA23-0237,,,2019-06-28,2019-07-03,Retained by the Council,,Approved,2019-07-12,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42974/CA23-0237-Introduction.pdf
42973,23,Correspondence from the Mayor - DOES Q3 Fiscal Year 2019 Report: DC Paid Family Leave ,Chairman Phil Mendelson,RC23-0084,,,2019-07-02,2019-07-03,,,,,New,Report,Other,http://lims.dccouncil.us/Download/42973/RC23-0084-Introduction.pdf
42972,23,Correspondence from the Mayor - MPD Civil Asset Forfeiture Report (FY18),Chairman Phil Mendelson,RC23-0083,,,2019-07-02,2019-07-03,,,,,New,Report,Other,http://lims.dccouncil.us/Download/42972/RC23-0083-Introduction.pdf
42969,23,Correspondence from the PSC - Bi-Annual Report on Fuel Mix,Chairman Phil Mendelson,RC23-0082,,,2019-07-01,2019-07-01,,,,,New,Report,Other,http://lims.dccouncil.us/Download/42969/RC23-0082-Introduction.pdf
42968,23,"FY 2019 Grant Budget Modifications of June 27, 2019",Chairman Mendelson,GBM23-0048,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Grant Budget Modification,Grant Budget Modification,http://lims.dccouncil.us/Download/42968/GBM23-0048-Introduction.pdf
42967,23,Correspondence from the Domestic Violence Fatality Review Board - 2019 Report on Domestic Violence Fatalities in 2015,Chairman Phil Mendelson,RC23-0081,,,2019-07-01,2019-07-01,,,,,New,Report,Other,
42966,23,"Proposed contract with Consigli Construction Co., Inc. ",Chairman Mendelson,CA23-0236,,,2019-07-01,2019-07-01,Retained by the Council,,Approved,2019-07-12,New,Contract,Contract,http://lims.dccouncil.us/Download/42966/CA23-0236-Introduction.pdf
42965,23,"Proposed contract with Perkins Eastman DC, PLLC ",Chairman Mendelson,CA23-0235,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-11,Under Council Review,Contract,Contract,
42964,23,"Proposed contract with MCN Build, Inc. ",Chairman Mendelson,CA23-0234,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-11,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42964/CA23-0234-Introduction.pdf
42963,23,"Proposed Change Order No. 5 with Skanska USA Building, Inc. ",Chairman Mendelson,CA23-0233,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-11,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42963/CA23-0233-Introduction.pdf
42962,23,"Proposed contract to exercise Option Year Two (2) with United Rentals, Inc. ",Chairman Mendelson,CA23-0232,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-11,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42962/CA23-0232-Introduction.pdf
42961,23,"Proposed contract to exercise Option Year Four (4) with Tecknomic, LLC ",Chairman Mendelson,CA23-0231,,,2019-06-28,2019-07-02,Retained by the Council,,Approved,2019-07-11,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42961/CA23-0231-Introduction.pdf
42960,23,Proposed contract with COX GRAAE + SPACK ARCHITECTS ,Chairman Mendelson,CA23-0230,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-11,Under Council Review,Contract,Contract,http://lims.dccouncil.us/Download/42960/CA23-0230-Introduction.pdf
42958,23,"Request to reprogram $1,337,000 of Local Funds Budget Authority from the Office of the State Superintendent of Education to District of Columbia Public Schools",Chairman Mendelson,REPROG23-0042,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42958/REPROG23-0042-Introduction.pdf
42957,23,"Request to reprogram $4,000,002 of Local Funds Budget Authority from the Department of Health Care Finance to the Department of General Services",Chairman Mendelson,REPROG23-0041,,,2019-06-28,2019-07-02,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42957/REPROG23-0041-Introduction.pdf
42956,23,"Request to reprogram $273,000 of Reverse Pay-As-You-Go Capital Funds Budget Authority and Allotment from the Department of Human Services to the Department of General Services' Operating Budget",Chairman Mendelson,REPROG23-0040,,,2019-06-28,2019-07-02,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42956/REPROG23-0040-Introduction.pdf
42955,23,"Request to reprogram $11,496,029 of Local Funds Budget Authority within the Department of Health Care Finance  ",Chairman Mendelson,REPROG23-0039,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42955/REPROG23-0039-Introduction.pdf
42954,23,"Request to reprogram $270,000 of Local Funds Budget Authority from the Department of Youth Rehabilitation Services to the Executive Office of the Mayor and the Office of the City Administrator ",Chairman Mendelson,REPROG23-0038,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42954/REPROG23-0038-Introduction.pdf
42953,23,"Request to reprogram $900,000 of Capital Funds Budget Authority and Allotment from the Washington Metropolitan Area Transit Authority to the Department of Public Works  ",Chairman Mendelson,REPROG23-0037,,,2019-06-28,2019-07-02,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,
42952,23,"Request to reprogram $306,000 of Local Funds Budget Authority from the Department of Motor Vehicles to the Department of Consumer and Regulatory Affairs ",Chairman Mendelson,REPROG23-0036,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42952/REPROG23-0036-Introduction.pdf
42951,23,"Request to reprogram $2,087,200 of Local Funds Budget Authority within the Department of Corrections ",Chairman Mendelson,REPROG23-0035,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42951/REPROG23-0035-Introduction.pdf
42950,23,"Request to reprogram $826,152 of Local Funds Budget authority from the Office of State Superintendent of Education to Special Education Transportation  ",Chairman Mendelson,REPROG23-0034,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42950/REPROG23-0034-Introduction.pdf
42949,23,"Request to reprogram $1,062,000 of Capital Funds Budget authority and Allotment within the District of Columbia Public Schools ",Chairman Mendelson,REPROG23-0033,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42949/REPROG23-0033-Introduction.pdf
42948,23,"Request to reprogram $1,800,000 of Capital Funds Budget Authority and Allotment with the Department of Parks and Recreation ",Chairman Mendelson,REPROG23-0032,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42948/REPROG23-0032-Introduction.pdf
42947,23,"Request to reprogram $1,000,000 of Local Funds Budget Authority within the Department of General Services",Chairman Mendelson,REPROG23-0031,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42947/REPROG23-0031-Introduction.pdf
42946,23,"Request to reprogram $6,447,476 of Special Purpose Revenue Funds Budget Authority from the Office of the Chief Financial Officer to the University of the District of Columbia",Chairman Mendelson,REPROG23-0030,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42946/REPROG23-0030-Introduction.pdf
42945,23,"Request to reprogram $915,840 of Local Funds Budget Authority within the Department of Energy and Environment",Chairman Mendelson,REPROG23-0029,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42945/REPROG23-0029-Introduction.pdf
42944,23,"Request to reprogram $280,000 of Local Funds Budget Authority from the Office of the Deputy Mayor for Planning and Economic Development to the Office of the City Administrator and the Office of Neighborhood Safety and Engagement ",Chairman Mendelson,REPROG23-0028,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42944/REPROG23-0028-Introduction.pdf
42943,23,"Request to reprogram $390,599 of Local Funds Budget Authority within the Office of the Deputy Mayor for Planning and Economic Development",Chairman Mendelson,REPROG23-0027,,,2019-06-28,2019-07-01,Retained by the Council,,Approved,2019-07-15,Under Council Review,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42943/REPROG23-0027-Introduction.pdf
42936,23,Correspondence from the Mayor - Office of Human Rights 2018 Annual Report,Chairman Phil Mendelson,RC23-0080,,,2019-06-28,2019-06-28,,,,,Under Council Review,Report,Other,http://lims.dccouncil.us/Download/42936/RC23-0080-Introduction.pdf
