Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43482,23,"Proposed contract to exercise option year four (4) with AXON Enterprise, Inc. (Formerly TASER International, Inc.) ",Chairman Mendelson,CA23-0333,,,2019-10-24,2019-10-25,Retained by the Council,,Approved,2019-11-04,New,Contract,Contract,http://lims.dccouncil.us/Download/43482/CA23-0333-Introduction.pdf
43481,23,Proposed Change Order No. 5 with Gilbane Building Company ,Chairman Mendelson,CA23-0332,,,2019-10-23,2019-10-25,Retained by the Council,,Approved,2019-11-03,New,Contract,Contract,
43480,23,Uninsured Motorist Fund Reciprocity Amendment Act of 2019,Chairman Mendelson,B23-0511,,,2019-10-23,2019-10-25,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43480/B23-0511-Introduction.pdf
43479,23,"Proposed contract with Parkmobile USA, Inc. ",Chairman Mendelson,CA23-0331,,,2019-10-23,2019-10-24,Retained by the Council,,Approved,2019-11-03,New,Contract,Contract,http://lims.dccouncil.us/Download/43479/CA23-0331-Introduction.pdf
43478,23,"FY 2019 Grant Budget Modifications of October 21, 2019",Chairman Mendelson,GBM23-0053,,,2019-10-23,2019-10-24,Retained by the Council,,Approved,2019-11-07,New,Grant Budget Modification,Grant Budget Modification,http://lims.dccouncil.us/Download/43478/GBM23-0053-Introduction.pdf
43477,23,Correspondence from the Mayor - Annual Report for Fiscal Year 2019 and Plan for Fiscal Year 2020 of the Department on Disability Services to the Council of the District of Columbia on Substitute Decision Makers and Psychotropic Medication Review for People with Developmental Disabilities,Chairman Phil Mendelson,RC23-0122,,,2019-10-24,2019-10-24,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43477/RC23-0122-Introduction.pdf
43476,23,"Request to reprogram $258,000 of Special Purpose Revenue Funds Budget Authority within the Department of Housing and Community Development ",Chairman Mendelson,REPROG23-0068,,,2019-10-23,2019-10-24,Retained by the Council,,Approved,2019-11-07,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43476/REPROG23-0068-Introduction.pdf
43475,23,"Request to reprogram $3,930,000 of Local Funds Budget Authority within the Department of General Services ",Chairman Mendelson,REPROG23-0067,,,2019-10-23,2019-10-24,Retained by the Council,,Approved,2019-11-07,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43475/REPROG23-0067-Introduction.pdf
43474,23,"Request to reprogram $617,150 of Special Purpose Revenue Funds Budget Authority within the Public Service Commission",Chairman Mendelson,REPROG23-0066,,,2019-10-23,2019-10-24,Retained by the Council,,Approved,2019-11-07,New,Reprogramming,Reprogramming,
43473,23,"Request to reprogram $670,599 of Local Funds Budget Authority within the Office of the Deputy Mayor of Planning and Economic Development ",Chairman Mendelson,REPROG23-0065,,,2019-10-23,2019-10-24,Retained by the Council,,Approved,2019-11-07,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/43473/REPROG23-0065-Introduction.pdf
