Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43402,23,Correspondence from the Mayor - Florida Avenue NE Multimodal Project,Chairman Phil Mendelson,RC23-0111,,,2019/10/09 00:00:00,2019/10/11 16:31:51,,,,0001/01/01 00:00:00,New,Report,Other,http://lims.dccouncil.us/Download/43402/RC23-0111-Introduction.pdf
43401,23,Notification of a Proposed Revenue Bond Issuance by the District of Columbia Housing Finance Agency,Chairman Mendelson,HFA23-0011,,,2019/10/10 00:00:00,2019/10/10 16:00:52,Retained by the Council,,Approved,2019/12/06 00:00:00,New,Housing Finance Agency,Housing Finance Agency,
43400,23,"FY 2019 Grant Budget Modifications of September 23, 2019",Chairman Mendelson,GBM23-0050,,,2019/10/10 00:00:00,2019/10/10 16:01:25,Retained by the Council,,Approved,2019/10/25 00:00:00,New,Grant Budget Modification,Grant Budget Modification,http://lims.dccouncil.us/Download/43400/GBM23-0050-Introduction.pdf
43399,23,Proposed contract with Open Source Technical ,Chairman Mendelson,CA23-0323,,,2019/10/10 00:00:00,2019/10/10 16:11:59,Retained by the Council,,Approved,2019/10/21 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43399/CA23-0323-Introduction.pdf
43398,23,Proposed loan agreement between the Department of Housing and Community Development (DHCD) and PB HanTiv Owner LLC ,Chairman Mendelson,CA23-0322,,,2019/10/10 00:00:00,2019/10/10 16:12:57,Retained by the Council,,Approved,2019/10/21 00:00:00,New,Contract,Contract,
43397,23,Proposed contract with Morgans Inc. t/a Jimmie Muscatello's ,Chairman Mendelson,CA23-0321,,,2019/10/10 00:00:00,2019/10/10 16:13:40,Retained by the Council,,Approved,2019/10/21 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43397/CA23-0321-Introduction.pdf
43396,23,"Proposed contract to exercise Option Year One (1) with MVS, Inc. ",Chairman Mendelson,CA23-0320,,,2019/10/10 00:00:00,2019/10/10 16:16:45,Retained by the Council,,Approved,2019/10/21 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43396/CA23-0320-Introduction.pdf
43395,23,Proposed contract to exercise Option Period One (1) with Comagine Health ,Chairman Mendelson,CA23-0319,,,2019/10/10 00:00:00,2019/10/10 14:42:47,Retained by the Council,,Approved,2019/10/21 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43395/CA23-0319-Introduction.pdf
43394,23,"Proposed contract with MVS, Inc. ",Chairman Mendelson,CA23-0318,,,2019/10/10 00:00:00,2019/10/10 14:32:27,Retained by the Council,,Approved,2019/10/21 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43394/CA23-0318-Introduction.pdf
43393,23,"Proposed contract with Fleetpro, Inc. ",Chairman Mendelson,CA23-0317,,,2019/10/09 00:00:00,2019/10/10 14:25:05,Retained by the Council,,Approved,2019/10/20 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/43393/CA23-0317-Introduction.pdf
